"","Exchange Date","Close","Net","%Chg","Open","Low","High","Volume","Turnover - EUR","Flow"
"64",2022-11-03,3593.18,-28.8300000000004,-0.00795966880268149,3596.07,3563.42,3597.58,285710650,5719530000,321200790000
"65",2022-11-02,3622.01,-29.0099999999998,-0.00794572475636939,3653.42,3621.18,3675.66,294270100,5960390000,326920320000
"66",2022-11-01,3651.02,33.48,0.00925490803142467,3628.6,3628.6,3680.24,272749000,5111890000,332880710000
"67",2022-10-31,3617.54,4.51999999999998,0.00125103099346253,3622.55,3606.97,3631.23,297410930,5430650000,327768820000
"68",2022-10-28,3613.02,8.50999999999976,0.00236093116678821,3594.6,3558.55,3615.91,297091120,6482170000,322338170000
"69",2022-10-27,3604.51,-0.799999999999727,-0.00022189492720452,3604.95,3565.36,3618.73,382567730,6842030000,3.15856e+11
"70",2022-10-26,3605.31,19.73,0.00550259651158251,3586.47,3560.43,3609.72,314490510,6232680000,322698030000
"71",2022-10-25,3585.58,57.79,0.0163813605685146,3536.92,3511.52,3585.58,299310530,6649430000,316465350000
"72",2022-10-24,3527.79,51.1599999999999,0.0147153996830263,3488.78,3473.21,3552.74,313312840,6.287e+09,309815920000
"73",2022-10-21,3476.63,-16.2199999999998,-0.00464377227765286,3477.27,3422.93,3488.01,388208440,7664730000,303528920000
"74",2022-10-20,3492.85,21.6100000000001,0.00622544105276504,3467.57,3451.75,3501.58,296174560,5593280000,311193650000
"75",2022-10-19,3471.24,7.40999999999985,0.00213925048284698,3466.71,3458.17,3498.2,232291670,4707430000,305600370000
"76",2022-10-18,3463.83,22.1900000000001,0.00644750758359388,3449.95,3449.95,3511.06,326652940,5347770000,300892940000
"77",2022-10-17,3441.64,59.9099999999999,0.0177157845244889,3382.12,3369.55,3456.81,264889420,4918430000,295545170000
"78",2022-10-14,3381.73,19.3299999999999,0.00574886985486555,3371.71,3371.71,3452.99,348612210,6356440000,290626740000
"79",2022-10-13,3362.4,30.8699999999999,0.00926601291298589,3321.18,3256.32,3373.11,353950930,7164920000,284270300000
"80",2022-10-12,3331.53,-8.81999999999971,-0.00264044186986385,3339.5,3315.54,3365.85,278950280,5339560000,277105380000
"81",2022-10-11,3340.35,-16.5300000000002,-0.00492421534281839,3352.54,3310.41,3356.41,288729350,5173200000,282444940000
"82",2022-10-10,3356.88,-18.5799999999999,-0.00550443495108813,3367.86,3338.36,3389.94,246394250,4957800000,287618140000
"83",2022-10-07,3375.46,-57.9899999999998,-0.016889717339702,3419.31,3373.65,3434.13,282273690,5225440000,292575940000
"84",2022-10-06,3433.45,-14.27,-0.00413896720151288,3455.28,3419.8,3476.67,267505880,4855620000,297801380000
"85",2022-10-05,3447.72,-36.7600000000002,-0.0105496372485996,3479.24,3427.7,3480.45,300149850,5453980000,3.02657e+11
"86",2022-10-04,3484.48,142.31,0.0425801201016106,3359.71,3359.71,3484.48,370254380,7521040000,308110980000
"87",2022-10-03,3342.17,23.9700000000003,0.00722379603399441,3309.02,3259.75,3348.45,315009380,5322900000,300589940000
"88",2022-09-30,3318.2,39.1599999999999,0.0119425197618815,3282,3279.98,3324.24,395222350,7163810000,295267040000
"89",2022-09-29,3279.04,-56.2600000000002,-0.0168680478517675,3332.8,3249.57,3332.8,405501470,6905370000,288103230000
"90",2022-09-28,3335.3,6.65000000000009,0.00199780691872083,3322.59,3259.33,3339.55,436731760,7294290000,295008600000
"91",2022-09-27,3328.65,-13.9099999999999,-0.00416148102053512,3349.94,3328.65,3396.08,388192720,6310970000,287714310000
"92",2022-09-26,3342.56,-6.03999999999996,-0.00180373887594815,3343.2,3325.2,3377.61,322158220,5925110000,294025280000
"93",2022-09-23,3348.6,-78.54,-0.0229170678758382,3427.14,3330.1,3427.14,378760060,7027460000,299950390000
"94",2022-09-22,3427.14,-64.73,-0.0185373453192702,3476.23,3427.06,3494.38,298463940,5530480000,306977850000
"95",2022-09-21,3491.87,24.7799999999997,0.00714720413949443,3461.3,3425.7,3494.41,282749430,4890720000,312508330000
"96",2022-09-20,3467.09,-32.3999999999996,-0.00925849195168428,3500.42,3459.94,3537.91,354242090,5813580000,307617610000
"97",2022-09-19,3499.49,-0.920000000000073,-0.00026282635462705,3499.78,3451.51,3520.11,240904350,4674380000,313431190000
"98",2022-09-16,3500.41,-41.3800000000001,-0.0116833578501267,3532.2,3482.4,3532.2,645744940,14610120000,318105570000
"99",2022-09-15,3541.79,-25.77,-0.00722342441332451,3566.47,3532.08,3586.36,428696870,6618190000,332715690000
"100",2022-09-14,3567.56,-18.6199999999999,-0.0051921543257728,3583.88,3545.8,3591.37,299038960,5958300000,339333880000
"101",2022-09-13,3586.18,-60.3300000000004,-0.0165445864676089,3649.24,3586.08,3683.02,349874070,6438660000,345292180000
"102",2022-09-12,3646.51,76.4700000000003,0.0214199280680329,3579.18,3579.18,3657.23,361124440,6483590000,351730840000
"103",2022-09-09,3570.04,57.6599999999999,0.0164162192017948,3512.71,3512.71,3581.57,365564100,5826110000,345247250000
"104",2022-09-08,3512.38,10.29,0.00293824544771835,3510.91,3454.6,3524.64,348303910,6025820000,339421140000
"105",2022-09-07,3502.09,1.95000000000027,0.000557120572320042,3495.02,3462.86,3510.9,285694110,5275120000,333395320000
"106",2022-09-06,3500.14,10.1299999999997,0.00290257047974065,3490.16,3471.89,3521.1,253643520,4955690000,328120200000
"107",2022-09-05,3490.01,-54.3699999999999,-0.0153397773376444,3532.77,3445.84,3532.77,261667960,5133390000,323164510000
"108",2022-09-02,3544.38,87.6800000000003,0.025365232736425,3466.66,3466.66,3548.85,299769020,6022950000,328297900000
"109",2022-09-01,3456.7,-60.5500000000002,-0.0172151538844268,3514.49,3448.49,3514.49,277713950,5758010000,322274950000
"110",2022-08-31,3517.25,-44.6700000000001,-0.0125409891294583,3571.97,3517.25,3583.05,412973970,8232520000,328032960000
"111",2022-08-30,3561.92,-8.59000000000015,-0.00240581877658938,3576.89,3545.92,3629.5,301298830,5245140000,336265480000
"112",2022-08-29,3570.51,-33.1699999999996,-0.00920447986502676,3600.48,3537.24,3600.48,237791770,4679970000,341510620000
"113",2022-08-26,3603.68,-70.8600000000001,-0.0192840464384658,3682.02,3593.48,3706.49,322991850,6267640000,346190590000
"114",2022-08-25,3674.54,7.07999999999993,0.0019304914027692,3670.57,3659.75,3703.52,289760080,4512220000,352458230000
"115",2022-08-24,3667.46,14.9400000000001,0.00409032667856714,3651.05,3626.41,3672.79,224068870,4268110000,347946010000
"116",2022-08-23,3652.52,-5.69999999999982,-0.00155813483060063,3654.04,3635.27,3674.73,297374390,5449300000,343677900000
"117",2022-08-22,3658.22,-72.1000000000004,-0.0193281005382917,3724.14,3643.72,3724.14,314577780,6106020000,349127200000
"118",2022-08-19,3730.32,-47.0599999999999,-0.0124583706166708,3772.25,3725.55,3772.25,316515890,6575710000,355233220000
"119",2022-08-18,3777.38,21.3200000000002,0.00567616065771052,3755.85,3748.89,3779.77,214497850,4616960000,361808930000
"120",2022-08-17,3756.06,-49.1599999999999,-0.0129190953479693,3806.93,3751.57,3813.04,258450860,5158220000,357191970000
"121",2022-08-16,3805.22,15.5999999999999,0.00411650772372953,3796.04,3786.59,3819.12,239820750,4988770000,362350190000
"122",2022-08-15,3789.62,12.8099999999999,0.00339175123980289,3782.19,3763.03,3794.9,214251830,3920880000,357361420000
"123",2022-08-12,3776.81,19.7599999999998,0.00525944557565105,3760.58,3756.19,3784.19,269003040,5708990000,353440540000
"124",2022-08-11,3757.05,7.70000000000027,0.00205368930614647,3761.45,3741.25,3771.2,239530400,5655660000,347731550000
"125",2022-08-10,3749.35,33.98,0.0091457916708161,3714.4,3694.88,3757.89,259561910,5522140000,342075890000
"126",2022-08-09,3715.37,-41.8499999999999,-0.011138554569602,3752.26,3711.55,3755.32,226172630,5192630000,336553750000
"127",2022-08-08,3757.22,31.8299999999999,0.00854407189582834,3737.31,3737.31,3778.99,245567790,4770130000,341746380000
"128",2022-08-05,3725.39,-29.21,-0.00777979012411443,3751.51,3716.39,3757.48,291176540,6040780000,336976250000
"129",2022-08-04,3754.6,22.0599999999999,0.00591018448563175,3733.52,3733.52,3781.57,311924190,5836400000,343017030000
"130",2022-08-03,3732.54,47.9099999999999,0.0130026624111511,3687.99,3681.89,3734.79,294906660,5923240000,337180630000
